Package                                  Version
---------------------------------------- -------------------------
Adafruit-Blinka                          8.39.1
adafruit-circuitpython-busdevice         5.2.9
adafruit-circuitpython-connectionmanager 2.0.0
adafruit-circuitpython-mcp3xxx           1.4.17
adafruit-circuitpython-requests          3.2.8
adafruit-circuitpython-typing            1.10.3
Adafruit-PlatformDetect                  3.62.0
Adafruit-PureIO                          1.1.11
alabaster                                0.7.12
appdirs                                  1.4.4
arandr                                   0.1.11
asgiref                                  3.6.0
astroid                                  2.14.2
asttokens                                2.2.1
atomicwrites                             1.4.1
attrs                                    22.2.0
autopep8                                 2.0.1
av                                       10.0.0
Babel                                    2.10.3
backcall                                 0.2.0
beautifulsoup4                           4.11.2
beniget                                  0.4.1
binaryornot                              0.4.3
black                                    23.1.0
bleach                                   5.0.1
blinker                                  1.5
Brotli                                   1.0.9
bytecode                                 0.14.0
certifi                                  2022.9.24
chardet                                  5.1.0
charset-normalizer                       3.0.1
click                                    8.1.3
cloudpickle                              2.2.0
colorama                                 0.4.6
colorzero                                2.0
contourpy                                1.0.7
cookiecutter                             1.7.3
coverage                                 6.5.0
cryptography                             38.0.4
cupshelpers                              1.0
cycler                                   0.11.0
dbus-python                              1.3.2
debugpy                                  1.6.3+git20221103.a2a3328
decorator                                5.1.1
defusedxml                               0.7.1
diff-match-patch                         20200713
dill                                     0.3.6
distro                                   1.8.0
docstring-to-markdown                    0.11
docutils                                 0.19
entrypoints                              0.4
executing                                1.2.0
fastjsonschema                           2.16.3
flake8                                   5.0.4
Flask                                    2.2.2
fonttools                                4.38.0
fs                                       2.4.16
gast                                     0.5.2
gpiozero                                 2.0
helpdev                                  0.7.1
html5lib                                 1.1
idna                                     3.3
imagesize                                1.4.1
importlib-metadata                       4.12.0
inflection                               0.3.1
intervaltree                             3.0.2
ipykernel                                6.17.0
ipython                                  8.5.0
ipython_genutils                         0.2.0
isort                                    5.6.4
itsdangerous                             2.1.2
jaraco.classes                           3.2.1
jedi                                     0.18.2
jeepney                                  0.8.0
jellyfish                                0.8.9
Jinja2                                   3.1.2
jinja2-time                              0.2.0
jsonpointer                              2.3
jsonschema                               4.10.3
jupyter_client                           7.4.9
jupyter_core                             4.12.0
jupyterlab-pygments                      0.2.2
keyring                                  23.9.3
kiwisolver                               0.0.0
lazy-object-proxy                        1.9.0
lgpio                                    0.2.2.0
libevdev                                 0.5
libsass                                  0.22.0
logilab-common                           1.9.8
lxml                                     4.9.2
lz4                                      4.0.2+dfsg
MarkupSafe                               2.1.2
matplotlib                               3.6.3
matplotlib-inline                        0.1.6
mccabe                                   0.7.0
mercurial                                6.3.2
meson                                    1.0.1
more-itertools                           8.10.0
mpmath                                   0.0.0
mypy                                     1.0.1
mypy-extensions                          0.4.3
nbclient                                 0.7.2
nbconvert                                6.5.3
nbformat                                 5.5.0
nest-asyncio                             1.5.4
noise                                    1.2.3
numpy                                    1.24.2
numpydoc                                 1.5.0
oauthlib                                 3.2.2
olefile                                  0.46
packaging                                23.0
pandocfilters                            1.5.0
parso                                    0.8.3
pathspec                                 0.11.0
pep8                                     1.7.1
pexpect                                  4.8.0
pgzero                                   1.2
picamera2                                0.3.18
pickleshare                              0.7.5
pidng                                    4.0.9
piexif                                   1.1.3
pigpio                                   1.78
Pillow                                   9.4.0
pip                                      23.0.1
platformdirs                             2.6.0
